dyad_id,start_date,end_date,outcome
467,1975-05-31,,
467,1975-05-31,1981-12-31,6.0
468,1979-11-30,,
468,1979-11-30,,
468,1979-11-30,1981-12-31,6.0
469,1982-03-31,,
469,1982-03-31,,
469,1982-03-31,,
469,1982-03-31,,
469,1982-03-31,,
469,1982-03-31,,
469,1982-03-31,,
469,1982-03-31,,
469,1982-03-31,,
469,1982-03-31,,
469,1982-03-31,,
469,1982-03-31,,
469,1982-03-31,,
469,1982-03-31,1995-12-31,1.0
470,1948-05-15,,
470,1948-05-15,,
470,1948-05-15,,
470,1948-05-15,,
470,1948-05-15,,
470,1948-05-15,,
470,1948-05-15,,
470,1948-05-15,,
470,1948-05-15,,
470,1948-05-15,,
470,1948-05-15,,
470,1948-05-15,,
470,1948-05-15,,
470,1948-05-15,,
470,1948-05-15,,
470,1948-05-15,1964-12-31,6.0
471,1965-12-31,,
471,1965-12-31,,
471,1965-12-31,,
471,1965-12-31,,
471,1965-12-31,,
471,1965-12-31,,
471,1965-12-31,,
471,1965-12-31,,
471,1965-12-31,1973-12-31,6.0
472,1965-02-28,,
472,1965-02-28,,
472,1965-02-28,,
472,1965-02-28,,
472,1965-02-28,,
472,1965-02-28,,
472,1965-02-28,,
472,1965-02-28,,
472,1965-02-28,,
472,1965-02-28,,
472,1965-02-28,,
472,1965-02-28,,
472,1965-02-28,,
472,1965-02-28,,
472,1965-02-28,,
472,1965-02-28,,
472,1965-02-28,,
472,1965-02-28,,
472,1965-02-28,,
472,1965-02-28,,
472,1965-02-28,,
472,1965-02-28,,
472,1965-02-28,,
472,1965-02-28,1988-12-31,6.0
473,1974-12-31,,
473,1974-12-31,,
473,1974-12-31,,
473,1974-12-31,,
473,1974-12-31,,
473,1974-12-31,,
473,1974-12-31,,
473,1974-12-31,,
473,1974-12-31,,
473,1974-12-31,,
473,1974-12-31,,
473,1974-12-31,,
473,1974-12-31,,
473,1974-12-31,,
473,1974-12-31,1988-12-31,6.0
474,1970-01-06,1989-12-31,5.0
474,1970-01-06,2001-12-31,5.0
475,1973-07-31,1989-12-31,5.0
476,1965-02-28,,
476,1965-02-28,,
476,1965-02-28,1992-12-31,1.0
476,1965-02-28,,
476,1965-02-28,,
476,1965-02-28,2002-12-31,5.0
476,1965-02-28,,
476,1965-02-28,,
